synset_id,"synset_word",anto_gender_id,"anto_gender_word"
4150,"कलछा",4151,"कलछी"
4150,"कलछुल",4151,"करछुली"
4151,"कलछी",4150,"कलछा"
4151,"करछुली",4150,"करछुल"
4192,"अभिनेता",6359,"अभिनेत्री"
4234,"कबूतरी",29544,"कबूतर"
4234,"कपोती",29544,"कपोत"
4264,"चाचा",5189,"चाची"
4264,"काका",5189,"काकी"
5189,"चाची",4264,"चाचा"
5189,"काकी",4264,"काका"
4268,"कौवा",24363,"कौवी"
4268,"कौआ",24363,"कौवी"
4364,"किशोर",7255,"किशोरी"
4383,"कुम्हार",22949,"कुम्हारिन"
4383,"कुंभकार",22949,"कुंभकारिन"
4383,"कुलाल",22949,"कुलालिन"
4383,"कुंभार",22949,"कुंभारिन"
4383,"कुम्हार",22950,"कुम्हारिन"
4383,"कुंभकार",22950,"कुंभकारिन"
4383,"कुलाल",22950,"कुलालिन"
4383,"कुंभार",22950,"कुंभारिन"
28539,"कुत्ता",702,"कुतिया"
28539,"कुत्ता",702,"कुत्ती"
28539,"श्वान",702,"श्वानी"
4400,"राजकुमार",4408,"राजकुमारी"
4400,"राजपुत्र",4408,"राजपुत्री"
4400,"शाहजादा",4408,"शाहजादी"
4408,"राजकुमारी",4400,"राजकुमार"
4408,"राजपुत्री",4400,"राजपुत्र"
4408,"शाहज़ादी",4400,"शाहज़ादा"
4409,"लड़की",4265,"लड़का"
4409,"बालिका",4265,"बालक"
4409,"बच्ची",4265,"बच्चा"
4409,"छोकरी",4265,"छोकरा"
4409,"छोरी",4265,"छोरा"
4437,"चकवा",4438,"चकई"
4437,"चक्रवाक",4438,"चक्रवाकी"
4437,"कोक",4438,"कोकी"
4438,"चकई",4437,"चकवा"
4438,"चक्रवाकी",4437,"चक्रवाक"
4438,"कोकी",4437,"कोक"
4495,"बैल",4441,"गाय"
4594,"खच्चर",15037,"खच्चरी"
4627,"गदही",28984,"गदहा"
4627,"गधी",28984,"गधा"
4627,"गर्दभी",28984,"गर्दभ"
4665,"मौसी",7750,"मौसा"
4665,"खाला",7750,"खालू"
4665,"ख़ाला",7750,"ख़ालू"
4683,"खिलाड़ी",22103,"खिलाड़िन"
4683,"खेलाड़ी",22103,"खेलाड़िन"
28984,"गदहा",4627,"गदही"
28984,"गधा",4627,"गधी"
28984,"गर्दभ",4627,"गर्दभी"
5575,"चोरिन",5294,"चोर"
5575,"चोट्टी",5294,"चोट्टा"
5575,"चोरनी",5294,"चोर"
10719,"गौरा",4436,"गौरैया"
5782,"दर्जिन",6110,"दर्जी"
9080,"दर्जिन",6110,"दर्जी"
9966,"टिड्डा",8909,"टिड्डी"
