"word",sense_count,"pos"
"अंग-संबंधी",1,"adjective"
"अंगघात",1,"noun"
"अंगच्छेद",1,"noun"
"अंगच्छेदक",1,"adjective"
"अंगच्छेदक",1,"noun"
"अंगच्छेदन",1,"noun"
"अंगछेद",1,"noun"
"अंगछेदक",1,"adjective"
"अंगछेदक",1,"noun"
"अंगछेदन",1,"noun"
"अंगज",1,"adjective"
"अंगज",1,"noun"
"अंगजात",1,"noun"
"अंगड़-खंगड़",1,"adjective"
"अंगड़-खंगड़",1,"noun"
"अंगड़ाई",1,"noun"
"अंगड़ाई लेना",1,"verb"
"अंगड़ाना",1,"verb"
"अंगत्राण",1,"noun"
"अंगद",3,"noun"
"अंगद देव",1,"noun"
"अंगधारी",1,"adjective"
"अंगन",1,"noun"
"अंगनई",1,"noun"
"अंगना",2,"noun"
"अंगनाई",1,"noun"
"अंगनैया",1,"noun"
"अंगन्यास",1,"noun"
"अंगभंग",2,"noun"
"अंगभूत",1,"adjective"
"अंगमारी",1,"noun"
"अंगरंगी",1,"adjective"
"अंगरक्षक",1,"adjective"
"अंगरक्षक",1,"noun"
"अंगरक्षी",1,"noun"
"अंगरखा",1,"noun"
"अंगराग",1,"noun"
"अंगराज",1,"noun"
"अंगरी",1,"noun"
"अंगरेज",1,"noun"
"अंगरेजिन",2,"noun"
"अंगरेजी",2,"adjective"
"अंगरेजी",2,"noun"
"अंगरेजी भाषा",1,"noun"
"अंगलेट",1,"noun"
"अंगवाचक",1,"noun"
"अंगवाचक शब्द",1,"noun"
"अंगवाची",1,"noun"
"अंगविकार",1,"noun"
"अंगविकृति",1,"noun"
"अंगसंचालन",1,"noun"
"अंगसंबंधी",1,"adjective"
"अंगसंरक्षी",1,"adjective"
"अंगसंरक्षी",1,"noun"
"अंगस्ट्राम",1,"noun"
"अंगस्ट्राम इकाई",1,"noun"
"अंगहार",1,"noun"
"अंगहीन",2,"adjective"
"अंगहीन",2,"noun"
"अंगहीनता",1,"noun"
"अंगा",1,"noun"
"अंगाकड़ी",1,"noun"
"अंगाकरि",1,"noun"
"अंगानुभूति",1,"noun"
"अंगामी",1,"noun"
"अंगामी जनजाति",1,"noun"
"अंगार",1,"noun"
"अंगारक",5,"noun"
"अंगारक चतुर्थी",1,"noun"
"अंगारपर्ण",1,"noun"
"अंगारा",1,"noun"
"अंगारिणी",1,"noun"
"अंगारी",3,"noun"
"अंगिया",1,"noun"
"अंगिरस",1,"noun"
"अंगिरस ऋषि",1,"noun"
"अंगिरस्",1,"noun"
"अंगिरस् ऋषि",1,"noun"
"अंगिरा",1,"noun"
"अंगिरा ऋषि",1,"noun"
"अंगिरावृत",1,"noun"
"अंगी",2,"adjective"
"अंगी",3,"noun"
"अंगीकरण",1,"noun"
"अंगीकार",1,"noun"
"अंगीकार करना",1,"verb"
"अंगीकार्य",1,"adjective"
"अंगीकृत",1,"adjective"
"अंगीकृति",1,"noun"
"अंगीठा",1,"noun"
"अंगीठी",1,"noun"
"अंगीवाचक",1,"noun"
"अंगीवाचक शब्द",1,"noun"
"अंगीवाची",1,"noun"
"अंगुरशफा",1,"noun"
"अंगुल",3,"noun"
"अंगुलबेढ़ा",1,"noun"
"अंगुली",2,"noun"
"अंगुली उठाना",1,"verb"
"अंगुली त्राण",1,"noun"
"अंगुली संकेत",1,"noun"
"अंगुश्त",2,"noun"
"अंगुश्तनुमा",1,"adjective"
"अंगुश्तनुमाई",1,"noun"
"अंगुश्तरी",1,"noun"
"अंगुश्ताना",2,"noun"
"अंगुष्ठ",1,"noun"
"अंगूठा",2,"noun"
"अंगूठी",1,"noun"
"अंगूर",3,"noun"
"अंगूर रस",1,"noun"
"अंगूरी",2,"adjective"
"अंगेट",1,"noun"
"अंगोछना",1,"verb"
"अंगोछा",1,"noun"
"अंगोछी",1,"noun"
"अंगोट",1,"noun"
"अंगोलन",1,"adjective"
"अंगोलन",1,"noun"
"अंगोला",1,"noun"
"अंगोला वासी",1,"noun"
"अंगोला-वासी",1,"noun"
"अंगोलाई",1,"adjective"
"अंगोलाई",1,"noun"
"अंगोलावासी",1,"noun"
"अंगौंगा",1,"noun"
"अंगौरिया",2,"noun"
"अंग्रेज",1,"noun"
"अंग्रेजवाद",1,"noun"
"अंग्रेज़",1,"noun"
"अंग्रेज़वाद",1,"noun"
"अंग्रेज़िन",2,"noun"
"अंग्रेज़ियत",2,"noun"
"अंग्रेज़ी",2,"adjective"
"अंग्रेज़ी",2,"noun"
"अंग्रेज़ी भाषा",1,"noun"
